V1,V2,V3,V4
bOtu183,bOtu494,0.724713795,1
bOtu183,bOtu469,0.758970926,1
bOtu183,eOtu629,0.654653671,1
bOtu183,bOtu455,0.676123404,1
bOtu103,bOtu3601,0.698253252,1
bOtu103,bOtu179,0.724713795,1
bOtu103,bOtu553,0.77005138,1
bOtu103,bOtu1648,-0.677645214,-1
bOtu103,bOtu263,0.77005138,1
bOtu103,bOtu576,0.695608344,1
bOtu103,bOtu584,0.753702346,1
bOtu103,eOtu1361,0.664211164,1
bOtu103,bOtu288,-0.698253252,-1
bOtu103,bOtu2174,0.741935484,1
bOtu103,bOtu773,0.724713795,1
bOtu103,bOtu287,0.77005138,1
bOtu103,bOtu4674,0.698253252,1
bOtu103,bOtu659,0.708447269,1
bOtu828,bOtu138,0.77005138,1
bOtu828,bOtu1853,0.661764706,1
bOtu828,bOtu252,0.685994341,1
bOtu828,bOtu59,0.714285714,1
bOtu828,bOtu441,0.657142857,1
bOtu828,bOtu173,0.823529412,1
bOtu828,bOtu2315,0.828571429,1
bOtu828,bOtu146,0.698253252,1
bOtu828,bOtu3191,0.8196886,1
bOtu828,bOtu1512,0.724713795,1
bOtu828,bOtu469,0.718421208,1
bOtu828,bOtu1900,0.753702346,1
